ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
CU1811.SHF,20171207,52800.0,52930.0,52900.0,53050.0,52630.0,52630.0,52800.0,-300.0,-130.0,98.0,2587.36,714.0,46.0
CU1811.SHF,20171208,52630.0,52800.0,52880.0,53240.0,52680.0,53240.0,53070.0,440.0,270.0,106.0,2812.85,704.0,-10.0
CU1811.SHF,20171211,53240.0,53070.0,52800.0,53230.0,52680.0,52680.0,53000.0,-390.0,-70.0,142.0,3763.42,794.0,90.0
CU1811.SHF,20171212,52680.0,53000.0,52970.0,53560.0,52800.0,53460.0,53380.0,460.0,380.0,90.0,2402.22,848.0,54.0
CU1811.SHF,20171213,53460.0,53380.0,53580.0,53680.0,53530.0,53630.0,53610.0,250.0,230.0,308.0,8256.05,986.0,138.0
CU1811.SHF,20171214,53630.0,53610.0,53880.0,54130.0,53700.0,53700.0,53910.0,90.0,300.0,136.0,3666.01,1026.0,40.0
CU1811.SHF,20171215,53700.0,53910.0,54020.0,54400.0,54020.0,54320.0,54220.0,410.0,310.0,74.0,2006.23,1062.0,36.0
CU1811.SHF,20171218,54320.0,54220.0,54390.0,55200.0,54390.0,54910.0,54950.0,690.0,730.0,150.0,4121.41,1112.0,50.0
CU1811.SHF,20171219,54910.0,54950.0,54990.0,55040.0,54730.0,54800.0,54920.0,-150.0,-30.0,98.0,2691.27,1100.0,-12.0
CU1811.SHF,20171220,54800.0,54920.0,54980.0,55190.0,54930.0,55150.0,55050.0,230.0,130.0,86.0,2367.32,1124.0,24.0
CU1811.SHF,20171221,55150.0,55050.0,55400.0,55950.0,55390.0,55700.0,55650.0,650.0,600.0,78.0,2170.4,1122.0,-2.0
CU1811.SHF,20171222,55700.0,55650.0,55600.0,55940.0,55520.0,55940.0,55670.0,290.0,20.0,50.0,1391.96,1120.0,-2.0
